#LB_label,#LA_label,#ID,ChargeTransfer,la_Me,la_nB,nO,la_nHM,la_Ui,la_nHAcc,la_AMW,C-041,AMW,nPyrroles,la_Mv,TPSA(NO),la_nF,nRSR,nCt,nHDon,C-033,nPyridines,C-006,la_nX,la_Ms,H-051,nX,la_MW,la_Mp,la_nAB,nF,C-027,nPyrazines,la_C-026,nCIC,ARR,H-049,nArNH2,nH,RBF,la_F-084,nRCO,nCrt,Total_MW,la_nBM,la_nBnz,la_LAI,la_ARR,la_RBF
7,6,C5H5NOS2:BH3,-0.1985,0.91,1,1,0,0.0,0,3.46,1,11.38,0,0.42,22.0,0,0,0,0,0,0,0,0,2.0,0,0,13.84,0.72,0,0,0,0,0,1,0.0,0,0,5,0.0,0,0,0,173.09,0,0,0,0.0,0.0
7,7,C5H5NOS2:BF3,0.00168,1.3,1,1,0,0.0,3,16.95,1,11.38,0,0.51,22.0,3,0,0,0,0,0,0,3,6.33,0,0,67.81,0.67,0,0,0,0,0,1,0.0,0,0,5,0.0,0,0,0,227.06,0,0,0,0.0,0.0
7,8,C5H5NOS2:BCl3,-0.00552,1.16,1,1,0,0.0,0,29.29,1,11.38,0,0.95,22.0,0,0,0,0,0,0,0,3,3.42,0,0,117.16,1.36,0,0,0,0,0,1,0.0,0,0,5,0.0,0,0,0,276.41,0,0,0,0.0,0.0
7,9,C5H5NOS2:BBr3,-0.00546,1.09,1,1,0,0.0,0,62.63,1,11.38,0,1.24,22.0,0,0,0,0,0,0,0,3,2.4,0,0,250.51,1.73,0,0,0,0,0,1,0.0,0,0,5,0.0,0,0,0,409.76,0,0,0,0.0,0.0
8,1,C5H3N3S:AlCl3,-0.1511,1.1,0,0,1,0.0,0,33.33,0,11.43,0,1.16,38.67,0,0,0,0,0,1,0,3,3.28,0,0,133.33,1.89,0,0,2,0,0,2,1.0,2,0,3,0.0,0,0,0,270.51,0,0,0,0.0,0.0
8,2,C5H3N3S:AlH3,-0.13718,0.86,0,0,1,0.0,0,7.5,0,11.43,0,0.63,38.67,0,0,0,0,0,1,0,0,2.0,0,0,30.01,1.25,0,0,2,0,0,2,1.0,2,0,3,0.0,0,0,0,167.19,0,0,0,0.0,0.0
8,3,C5H3N3S:C18F15Al,-0.16052,1.19,0,0,1,4.248,15,15.53,0,11.43,0,0.76,38.67,15,0,0,0,0,1,0,15,4.43,0,0,528.16,0.78,18,0,2,0,15,2,1.0,2,0,3,0.0,15,0,0,665.34,18,3,1,0.5,0.083
8,4,C5H3N3S:C3H9Al,-0.12624,0.93,0,0,1,0.0,0,5.55,0,11.43,0,0.56,38.67,0,0,0,0,0,1,0,0,1.69,0,0,72.1,0.79,0,0,2,0,0,2,1.0,2,0,3,0.0,0,0,0,209.28,0,0,0,0.0,0.0
8,5,C5H3N3S:C2H5AlCl2,-0.14268,0.99,0,0,1,0.0,0,12.7,0,11.43,0,0.71,38.67,0,0,0,0,0,1,0,2,2.5,0,0,126.95,1.02,0,0,2,0,0,2,1.0,2,0,3,0.0,0,0,0,264.13,0,0,0,0.0,0.0
8,6,C5H3N3S:BH3,-0.2971,0.91,1,0,0,0.0,0,3.46,0,11.43,0,0.42,38.67,0,0,0,0,0,1,0,0,2.0,0,0,13.84,0.72,0,0,2,0,0,2,1.0,2,0,3,0.0,0,0,0,151.02,0,0,0,0.0,0.0
