#LB_label,#LA_label,#ID,ChargeTransfer,N#R,R-N(-R)-R,R--N--R,R-N=R,R-NH-R,NH2-R,NH3,O=R,S=R,R-S-R,R--S--R,nN(CO)2,C-041,nH,la_MW,la_AMW,la_Mv,la_Me,la_Mp,la_Ms,la_nAT,la_nSK,la_nBT,la_nBO,la_nBM,la_SCBO,la_ARR,la_RBF,la_nAB,la_nH,la_nC,la_nF,la_nCL,la_nB,la_nHM,la_nX,la_nBnz,la_nHAcc,la_C-026,la_H-050,la_F-084,la_Ui,la_Hy,la_MLOGP,la_LAI
9,3,C16H10N2S2:C18F15Al,-0.19932,0,0,2,0,0,0,0,0,0,2,0,0,0,10,528.16,15.53,0.76,1.19,0.78,4.43,34,34,36,36,18,45,0.5,0.083,18,0,18,15,0,0,1,15,3,15,15,0,15,4.248,-0.525,7.875,1
9,4,C16H10N2S2:C3H9Al,-0.14592,0,0,2,0,0,0,0,0,0,2,0,0,0,10,72.1,5.55,0.56,0.93,0.79,1.69,13,4,12,3,0,3,0,0,0,9,3,0,0,0,1,0,0,0,0,0,0,0,-0.646,1.364,0
9,5,C16H10N2S2:C2H5AlCl2,-0.16122,0,0,2,0,0,0,0,0,0,2,0,0,0,10,126.95,12.7,0.71,0.99,1.02,2.5,10,5,9,4,0,4,0,0,0,5,2,0,2,0,1,2,0,0,0,0,0,0,-0.359,1.817,0
9,6,C16H10N2S2:BH3,-0.30552,0,0,2,0,0,0,0,0,0,2,0,0,0,10,13.84,3.46,0.42,0.91,0.72,2,4,1,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0,-1.041,0
9,7,C16H10N2S2:BF3,-0.26482,0,0,2,0,0,0,0,0,0,2,0,0,0,10,67.81,16.95,0.51,1.3,0.67,6.33,4,4,3,3,0,3,0,0,0,0,0,3,0,1,0,3,0,3,0,0,0,0,0,0.546,0
9,8,C16H10N2S2:BCl3,-0.29402,0,0,2,0,0,0,0,0,0,2,0,0,0,10,117.16,29.29,0.95,1.16,1.36,3.42,4,4,3,3,0,3,0,0,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,1.364,0
9,9,C16H10N2S2:BBr3,-0.27312,0,0,2,0,0,0,0,0,0,2,0,0,0,10,250.51,62.63,1.24,1.09,1.73,2.4,4,4,3,3,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2.026,0
9,10,C16H10N2S2:C18BF15,-0.34212,0,0,2,0,0,0,0,0,0,2,0,0,0,10,511.99,15.06,0.73,1.2,0.72,4.45,34,34,36,36,18,45,0.5,0.083,18,0,18,15,0,1,0,15,3,15,18,0,15,4.248,-0.525,7.875,1
9,11,C16H10N2S2:BI3,-0.21718,0,0,2,0,0,0,0,0,0,2,0,0,0,10,391.51,97.88,1.49,0.97,2.71,1.92,4,4,3,3,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2.604,0
9,12,C16H10N2S2:O2S,-0.05022,0,0,2,0,0,0,0,0,0,2,0,0,0,10,64.07,21.36,0.7,1.24,0.85,5.28,3,3,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1.585,0,-2.379,0
