#PDF_File,Minimum_Capacity(mAh),Nomial_Voltage(V),Charge_Voltage(V),Charge_Current(mAh),Dicharge_Voltage(V),Discharge_Current,Cycle,Remaining_Capacity(mAh)
datasheet_17,1800,3.8,4.35,1800,3,1800,305.5476529,1564.102564
datasheet_17,1800,3.8,4.35,1800,3,1800,320.9103841,1558.974359
datasheet_17,1800,3.8,4.35,1800,3,1800,332.1369953,1553.846154
datasheet_17,1800,3.8,4.35,1800,3,1800,348.6486486,1548.717949
datasheet_17,1800,3.8,4.35,1800,3,1800,363.5846373,1543.589744
datasheet_17,1800,3.8,4.35,1800,3,1800,379.8008535,1538.461538
datasheet_17,1800,3.8,4.35,1800,3,1800,392.1763869,1533.333333
datasheet_17,1800,3.8,4.35,1800,3,1800,406.2588905,1528.205128
datasheet_17,1800,3.8,4.35,1800,3,1800,421.6216216,1523.076923
datasheet_17,1800,3.8,4.35,1800,3,1800,437.8378378,1517.948718
datasheet_17,1800,3.8,4.35,1800,3,1800,455.3342817,1512.820513
datasheet_17,1800,3.8,4.35,1800,3,1800,467.7098151,1507.692308
datasheet_17,1800,3.8,4.35,1800,3,1800,486.059744,1502.564103
datasheet_17,1800,3.8,4.35,1800,3,1800,498.8620199,1497.435897
datasheet_18,1670,3.7,4.2,1670,2.75,1670,1.70212766,1659.898477
datasheet_18,1670,3.7,4.2,1670,2.75,1670,2.553191489,1649.746193
datasheet_18,1670,3.7,4.2,1670,2.75,1670,3.404255319,1639.593909
datasheet_18,1670,3.7,4.2,1670,2.75,1670,4.255319149,1634.517766
datasheet_18,1670,3.7,4.2,1670,2.75,1670,5.106382979,1629.441624
datasheet_18,1670,3.7,4.2,1670,2.75,1670,5.957446809,1624.365482
datasheet_18,1670,3.7,4.2,1670,2.75,1670,6.808510638,1619.28934
datasheet_18,1670,3.7,4.2,1670,2.75,1670,7.659574468,1614.213198
datasheet_18,1670,3.7,4.2,1670,2.75,1670,8.510638298,1609.137056
datasheet_18,1670,3.7,4.2,1670,2.75,1670,9.787234043,1604.060914
datasheet_18,1670,3.7,4.2,1670,2.75,1670,11.06382979,1598.984772
datasheet_18,1670,3.7,4.2,1670,2.75,1670,12.34042553,1593.908629
datasheet_18,1670,3.7,4.2,1670,2.75,1670,13.61702128,1588.832487
datasheet_18,1670,3.7,4.2,1670,2.75,1670,14.46808511,1583.756345
datasheet_18,1670,3.7,4.2,1670,2.75,1670,15.74468085,1578.680203
datasheet_18,1670,3.7,4.2,1670,2.75,1670,17.44680851,1573.604061
datasheet_18,1670,3.7,4.2,1670,2.75,1670,18.72340426,1568.527919
datasheet_18,1670,3.7,4.2,1670,2.75,1670,20,1563.451777
datasheet_18,1670,3.7,4.2,1670,2.75,1670,21.70212766,1558.375635
datasheet_18,1670,3.7,4.2,1670,2.75,1670,23.40425532,1553.299492
datasheet_18,1670,3.7,4.2,1670,2.75,1670,25.53191489,1548.22335
datasheet_18,1670,3.7,4.2,1670,2.75,1670,27.65957447,1543.147208
datasheet_18,1670,3.7,4.2,1670,2.75,1670,29.36170213,1538.071066
datasheet_18,1670,3.7,4.2,1670,2.75,1670,31.91489362,1532.994924
datasheet_18,1670,3.7,4.2,1670,2.75,1670,34.46808511,1527.918782
datasheet_18,1670,3.7,4.2,1670,2.75,1670,36.59574468,1522.84264
datasheet_18,1670,3.7,4.2,1670,2.75,1670,39.14893617,1517.766497
datasheet_18,1670,3.7,4.2,1670,2.75,1670,42.12765957,1512.690355
datasheet_18,1670,3.7,4.2,1670,2.75,1670,45.10638298,1507.614213
datasheet_18,1670,3.7,4.2,1670,2.75,1670,48.08510638,1502.538071
datasheet_18,1670,3.7,4.2,1670,2.75,1670,51.4893617,1497.461929
datasheet_18,1670,3.7,4.2,1670,2.75,1670,55.74468085,1492.385787
