,Decriptor,FI_LR,FI_RIDGE,FI_RF,FI_GB
106,TPSA(NO),0.15625447183565921,-4.3489987509850483e-07,0.006183029473213199,0.009594545008840652
107,TPSA(Tot),-0.05989114826216718,-6.076891212043459e-07,0.008253628994691595,0.011058890564167723
108,MLOGP,-0.025820091485105154,-2.303391473276918e-08,0.0025782637295617404,0.0010191689216864342
109,ALOGP,14.797685895588469,-2.715418847874453e-08,0.0034732848685119057,0.0019764280907126927
110,la_MW,0.16564372748856493,-3.3505068197824096e-06,0.050168710061351734,0.04667807922071107
111,la_AMW,0.004951450616516251,-4.341751468349655e-07,0.045334146103908374,0.03625453882812977
112,la_Mv,0.03100276016073494,-1.2970031376641721e-08,0.054513470270526325,0.014460585814306271
113,la_Me,0.025130076278792258,-1.7048684244210198e-08,0.041576516856147494,0.02745804574605248
114,la_Mp,0.02906873046672909,-1.8834406633528154e-08,0.07318417021347375,0.09162417043946552
115,la_Ms,0.2937334045655538,-5.18032810518874e-08,0.030736443736054605,0.014496527144012198
116,la_nAT,0.007804721972011874,-1.7480339633898257e-07,0.014573592177762195,0.04473094121548994
117,la_nSK,-0.013828933187814918,-1.536694996838645e-07,0.009060189559211255,0.00395273064979853
118,la_nBT,0.02157175194435565,-1.6898326448835243e-07,0.014530241020232891,0.03949253666711951
119,la_nBO,-6.190312421916477e-05,-1.478493678332344e-07,0.006046712448426126,0.003417596006624165
120,la_nBM,0.0332637110521595,-6.047558769913238e-08,0.006894746148217776,0.00016123396687889403
121,la_SCBO,-0.008099282095279992,-1.7850520262702968e-07,0.009080774698091423,0.022511076865447326
122,la_ARR,0.0022945049947868763,-1.6566529391854053e-09,0.003271660105711723,0.0027938622142792613
123,la_RBF,0.0003808878292650904,-2.7500438790477596e-10,0.001979535842715822,0.0006812724138183992
124,la_nAB,0.08260217981009046,-5.96395058106742e-08,0.0021998397287097283,0.009715184077221618
125,la_nH,0.021633655076571806,-2.113389665511797e-08,0.011997127767679682,0.013193962234266776
126,la_nC,0.031090575745788218,-6.390019347371355e-08,0.00972983128088043,0.014567684480298186
127,la_nF,-0.11226549228573254,-5.4068009874280956e-08,0.007248136369585547,0.01368348615371338
128,la_nCL,-0.04626791403499535,-9.978330463391882e-09,0.0052698073253300915,0.0073557118715361185
129,la_nB,-0.05223775954656988,-1.0602073005097988e-08,0.11803582658535743,0.12651226064595542
130,la_nHM,0.07690699394873844,-4.739935536415429e-09,0.10327664906995353,0.09777459087988975
131,la_nX,0.004418959924906984,-7.317317483595038e-08,0.023786945967875905,0.0037055350284493477
132,la_nBnz,0.01376702997069185,-9.939917635112361e-09,0.002697054804255211,0.0018627147328574884
133,la_nHAcc,-0.16160396106290228,-5.49040917627391e-08,0.006129026685062528,0.024542131818900696
134,la_C-026,-0.019726394777635964,-5.6486870207427284e-08,0.027107765526702136,0.03433025086731874
135,la_H-050,0.12755612711928904,-9.286080811045588e-09,0.0022364568988447074,0.0032255987200247803
136,la_F-084,0.06883514984258932,-4.9699588175561795e-08,0.0044352308009460596,7.530486626694356e-05
137,la_Ui,-0.019606622085313205,-1.47375182679222e-08,0.005270039000842318,0.006020185107862497
138,la_Hy,0.005199050788017725,2.5899992841908614e-09,0.006296717368688356,0.005174809756987889
139,la_MLOGP,0.04471760640052927,-3.6053487633607424e-08,0.026464200213119772,0.008034731476559516
140,la_LAI,0.004589009989749843,-3.3133058783708006e-09,0.002049239784988151,0.00047283036228496574
