#LB_label,#LA_label,#ID,ChargeTransfer,la_nB,nO,AMW,nROCON,la_nHM,nPyrroles,la_Mp,la_nH,nR08,H-047,Total_MW,nH,la_Hy,la_Me,nRNH2,C-024,nCconjX
14,5,C10H4N4S2:C2H5AlCl2,-0.14296,0,0,12.22,0,1,0,1.02,5,0,4,371.27,4,-0.359,0.99,0,4,0
14,6,C10H4N4S2:BH3,-0.3004,1,0,12.22,0,0,0,0.72,3,0,4,258.16,4,0.0,0.91,0,4,0
14,7,C10H4N4S2:BF3,-0.26332,1,0,12.22,0,0,0,0.67,0,0,4,312.13,4,0.0,1.3,0,4,0
14,8,C10H4N4S2:BCl3,-0.27858,1,0,12.22,0,0,0,1.36,0,0,4,361.48,4,0.0,1.16,0,4,0
14,9,C10H4N4S2:BBr3,-0.2471,1,0,12.22,0,0,0,1.73,0,0,4,494.83,4,0.0,1.09,0,4,0
14,10,C10H4N4S2:C18BF15,-0.3611,1,0,12.22,0,0,0,0.72,0,0,4,756.31,4,-0.525,1.2,0,4,0
14,11,C10H4N4S2:BI3,-0.14706,1,0,12.22,0,0,0,2.71,0,0,4,635.83,4,0.0,0.97,0,4,0
14,12,C10H4N4S2:O2S,-0.02186,0,0,12.22,0,0,0,0.85,0,0,4,308.39,4,0.0,1.24,0,4,0
15,1,C5H5N:AlCl3,-0.16168,0,0,7.19,0,1,0,1.89,0,0,3,212.44,5,0.0,1.1,0,3,0
15,2,C5H5N:AlH3,-0.15164,0,0,7.19,0,1,0,1.25,3,0,3,109.12,5,0.0,0.86,0,3,0
15,3,C5H5N:C18F15Al,-0.17006,0,0,7.19,0,1,0,0.78,0,0,3,607.27,5,-0.525,1.19,0,3,0
15,4,C5H5N:C3H9Al,-0.1417,0,0,7.19,0,1,0,0.79,9,0,3,151.21,5,-0.646,0.93,0,3,0
15,5,C5H5N:C2H5AlCl2,-0.14758,0,0,7.19,0,1,0,1.02,5,0,3,206.06,5,-0.359,0.99,0,3,0
15,6,C5H5N:BH3,-0.32264,1,0,7.19,0,0,0,0.72,3,0,3,92.95,5,0.0,0.91,0,3,0
15,7,C5H5N:BF3,-0.2986,1,0,7.19,0,0,0,0.67,0,0,3,146.92,5,0.0,1.3,0,3,0
